Network,NetworkCode,ProjectID,ProjectName
Mid-Atlantic Network,MIDN,MIDN_BOWA_WQ,Booker T. Washington National Monument Vital Signs Water Quality Monitoring
Mid-Atlantic Network,MIDN,MIDN_FISH_ATK_2008,Fish Inventories of Mid-Atlantic Network Parks
Mid-Atlantic Network,MIDN,MIDN_FRSP_WQ,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park Vital Signs Water Quality Monitoring
Mid-Atlantic Network,MIDN,MIDN_GETT_WQ,Gettysburg National Military Park and Eisenhower National Historic Site Vital Signs Water Quality Monitoring
Mid-Atlantic Network,MIDN,MIDN_HOFU_WQ,Hopewell Furnace National Historic Site Vital Signs Water Quality Monitoring
Mid-Atlantic Network,MIDN,MIDN_PETE_WQ,Petersburg National Battlefield Vital Signs Water Quality Monitoring
Mid-Atlantic Network,MIDN,MIDN_RICH_WQ,Richmond National Battlefield Park Vital Signs Water Quality Monitoring
National Capital Region Network,NCRN,NCRNWQ01,NCRN Perennial Nontidal Stream Chemistry Monitoring
Northeast Coastal and Barrier Network,NCBN,NCBN_FISH_ATK_2008,Fish Inventories of Northeast Coastal and Barrier Network Parks
Northeast Coastal and Barrier Network,NCBN,NCBN0001,Estuarine Nutrient Enrichment Monitoring in Coastal Parks
Northeast Temperate Network,NETN,NETN_WQ,"Northeast Temperate Network lakes, ponds, and streams monitoring protocol"
Northern Great Plains Network,NGPN,NGPN_CWM,Cave Water Monitoring in NGPN Cave Lakes
Northern Great Plains Network,NGPN,NGPN0001,"Fish Inventories of 5 Parks in NGPN, White et al. 2002"
Pacific Islands Network,PACN,ALKA_FIXED,Ala Kahakai National Historic Trail Fixed Stations
Pacific Islands Network,PACN,AMME_FIXED,American Memorial Park Fixed Stations
Pacific Islands Network,PACN,AMME_TEMP,American Memorial Park Temporary Stations
Pacific Islands Network,PACN,HALE_FIXED,Haleakala National Park Fixed Stations
Pacific Islands Network,PACN,HALE_TEMP,Haleakala National Park Temporary Stations
Pacific Islands Network,PACN,HAVO_FIXED,Hawaii Volcanoes National Park Fixed Stations
Pacific Islands Network,PACN,KAHO_FIXED,Kaloko-Honokohau National Historical Park Fixed Stations
Pacific Islands Network,PACN,KAHO_TEMP,Kaloko-Honokohau National Historical Park Temporary Stations
Pacific Islands Network,PACN,KALA_FIXED,Kalaupapa National Historical Park Fixed Stations
Pacific Islands Network,PACN,KALA_TEMP,Kalaupapa National Historical Park Temporary Stations
Pacific Islands Network,PACN,NPSA_FIXED,National Park of American Samoa Fixed Stations
Pacific Islands Network,PACN,NPSA_TEMP,National Park of American Samoa Temporary Stations
Pacific Islands Network,PACN,PACN_WELL,American Memorial Park and Kaloko-Honokohau National Historical Park Well Data
Pacific Islands Network,PACN,PUHE_FIXED,Puukohola Heiau National Historic Site Fixed Stations
Pacific Islands Network,PACN,PUHO_FIXED,Puuhonua o Honaunau National Historical Park Fixed Stations
Pacific Islands Network,PACN,WAPA_FIXED,War in the Pacific National Historical Park Fixed Stations
Pacific Islands Network,PACN,WAPA_TEMP,War in the Pacific National Historical Park Temporary Stations
Rocky Mountain Network,ROMN,ROMN_SEI,ROMN Stream Ecological Integrity Monitoring
San Francisco Bay Area Network,SFAN,PRSF_WQ,Presidio Trust Water Quality Monitoring
San Francisco Bay Area Network,SFAN,SFAN_I&M,SFAN Long-Term Water Quality Monitoring Program
San Francisco Bay Area Network,SFAN,SFAN_I&M_EXTRA,"SFAN Long-Term Water Quality Monitoring Program, Extra Sampling"
San Francisco Bay Area Network,SFAN,SFAN_WQ,SFAN Pilot Monitoring for Freshwater Quality Protocol
Sierra Nevada Network,SIEN,SIEN_LAKES,SIEN Lake Monitoring
South Florida/Caribbean Network,SFCN,SFCN_SEAGRASS,Seagrass
Southeast Coast Network,SECN,SECN_EWQM_FIXED,NPS SECN Estuarine Water Quality Monitoring - Fixed Station
Southeast Coast Network,SECN,SECN_EWQM_FIXED_LEGACY,NPS SECN Estuarine Water Quality Monitoring - Fixed Station – Legacy
Southeast Coast Network,SECN,SECNPRWQ,Assessing Coastal Waters at Southeast Coast Network Parks
Southwest Alaska Network,SWAN,SWAN_KEFJ_2003-2004_SUMMERWQ,Summer Water Quality Survey at Kenai Fjords NP
